kode_rs,nama_rs,alamat_rs,telepon_rs
6102012,RS Umum Daerah Bengkayang,Jl. Sanggau Ledo No. 20 Bengkayang,0562-441618
6103013,RS Umum Daerah Kabupaten Landak,Jl. Raya Ngabang Sanggau No.109 Kecamatan Ngabang Kabupaten Landak,0563-2022845
6104014,RS Umum Daerah Dr. Rubini Mempawah,Jalan Raden Kusno Mempawah,0561-691981
6105015,RS Umum Daerah M. Th. Djaman Sanggau,Jl. Jend Sudirman Sanggau,0564-21070
6105026,RS Parindu,Jl Raya Desa Binjai Kec.Tayan Hulu Kab. Sanggau,0564-22050
6106016,RS Umum Daerah Dr. Agoesdjam Ketapang,Jl. Panjaitan No.51 Ketapang,0534-3037239
6106020,RS Fatima Ketapang,Jl. Jend. Sudirman No.27 Ketapang,0534-32814
6107010,RS Umum Daerah Ade Muhammad Djoen Sintang ,Jl. Patimura dan Jl.YC Oevang Oeray Sintang,0565 22022
6108011,RS Umum Daerah dr. A. Diponegoro Putussibau,Jl. Kom Yos Sudarso No.42 Putussibau,(0567)22855
6109012,RS Umum Daerah Kabupaten Sekadau,Jl. Merdeka Timur KM. 06 Ds. Mungguk Kec. Sekadau Hilir Kab. Sekadau,0564-41186
6110012,RS Umum Daerah Kabupaten Melawi,Jl. Kelakik KM. 4 Nanga Pinoh Kabupaten Melawi,0568-2020123
6171011,RS Umum Daerah Dr. Soedarso Pontianak,Jl. dr. Soedarso No.1 Pontianak,0561-737701
6171022,RS Tk.II Kartika Husada Kes.Dam XII Tanjungpura,Jl. Adi Sucipto KM 6.5 Sei Raya Kubu Raya,0561 - 721391
6171033,RS Umum St. Antonius Pontianak,Jl. KH. Wahid Hasyim No. 249 Pontianak,0561-732101
6171044,RS Jiwa Daerah Sei Bangkong Pontianak,Jl. Ali Anyang No. 1 Pontianak,0561-767525
6171113,RS Islam Yarsi Pontianak,Jl. Tanjung Raya II Pontianak,(0561)739685
6171124,RS Anugerah Bunda Khatulistiwa,Jl. Ahmad Yani Pontianak Selatan,0561-581818
6112135,RS Angkatan Udara dr. Mohammad Sutomo,Jl. Raya Kuala Dua No. 2 Kab. Kubu Raya,0561-6727744
6201012,RS Umum Daerah Sultan Imanuddin,Jl. Sutan Syahrir No 17 Pangkalan Bun,0532-21404
6202013, RS Umum Daerah Dr Murjani Sampit,Jl. H M Arsyad No. 65 Sampit,0531-21010
6209024, RS Umum Daerah  Mas Amsyar Kasongan,"Jl. Rumah Sakit No.1,Kasongan",0536-4041041
6203015, RS Umum Daerah Dr H Soemarno S,Jl. Tambun Bungai  No. 16 Kuala Kapuas,0513-21653
6211026,RS Umum Daerah Kuala Kurun,Jl. Jend. A. Yani No.43 Kuala Kurun Kalimantan Tengah,(0537) 31039
6204016,RS Umum Daerah Jaraga Sasameh,Jl. Patianom Nomor 6 Buntok Kode Pos.737112 Kalimantan Tengah Telepon (0525) 21261 Faksimile (0525),0525-21261
6212020,RS Umum Daerah Tamiang Layang,Jl. Nansarunai Tamiang Layang No. 62,0526 2091235
6205011, RS Umum Daerah Muara Teweh,Jl. Yetro Sinseng Muara Teweh,(0519)21051
6213022, RS Umum Daerah Puruk Cahu,"Jl. A. Yani No. 497, Puruk Cahu",0528-31300
6207033, RS Umum Daerah Sukamara,"Jl. Tjilik Riwut Km 5,5 Nomor 35 Sukamara","26753, 26752"
6207012,RS Umum Daerah Kabupaten Lamandau,JL. TRANS KALIMANTAN KM.4,0532-6728322
6208014, RS Umum Daerah Kuala Pembuang,"Jl. A.Yani No.30,Kuala Pembuang",(0538)22051
6210015, RS Umum Daerah Pulang Pisau,Jl. W.A.D Duha Komplek Perkantoran Kab. Pulang Pisau  Provinsi Kalimantan Tengah,0513 700583
6271012,RS Umum Daerah Dr Doris Sylvanus Palangka Raya,Jl. Tambun Bungai No.4 Palangkaraya,(0536)3224695
6271023,RS Tk.IV Palangkaraya,Jl. Diponegoro No.55 Palangkaraya Kalteng,0536 3220238
6301013,RS Umum Daerah H. Boejasin Pelaihari,Jl. Hadji Boejasin No.68 Kab. Tanah Laut,(0512)-21083
6302014,RS Umum Daerah Kabupaten Kotabaru,Jl. Brigjend. H. Hasan Basri No.57 Kotabaru,(0518) 22945
6303015,RS Umum Daerah Ratu Zalecha,Jl Menteri Empat Martapura Kabupaten Banjar Kalimantan Selatan,0511-4789448
6303026,RS Umum Danau Salak,JL Emplasemen Selan RT 005 RW 03 Kec. Matraman,085248282348
6304016,RS Jiwa Sambang Lihum,"Jl Gubernur Syarkawi KM.3,9 Kec.Gambut",0511-6730000
6304020,RS Umum Daerah  H. Abdul Aziz Marabahan,"Jl. Jend Sudirman No.10, RT. 13 RW. 001, Marabahan",0511-4799118
6305010,RS Umum Daerah Datu Sanggul Rantau,Jl. Brigjend H. Hasan Basry Rantau,(0517)31075
6306011,RS Umum Daerah Brigjed H. Hasan Basry Kandangan,"Jalan Jenderal  Sudirman No.26A RT.01 RK.I Hamalau, Sungai Raya, Kab. Hulu Sungai Selatan",21653
6307012,RS Umum Daerah  H Damanhuri Barabai,Jl. Murakata No. 4 Barabai,0517-41779
6308013,RS Umum Daerah Pambalah Batung,Jl. Jenderal Basuki Rahmat No. 1 Amuntai,0527-61041
6309014, RS Umum Daerah H. Badaruddin Kasim,Jl. Jaksa Agung Suprapto Tanjung,0526 2022651
6309025,RS Umum Pertamina Tanjung,"Jl. Gas No. 1, Komperta Murung Pudak, Tanjung",0526-2022550
6310015,RS Umum Daerah dr. H. Andi Abdurrahman Noor,"Jl. HM. Amin KM. 10 RT. 03, Desa Sepunggur, Kec. Kusan Hilir, Kab.Tanah Bumbu, Kal.Sel.",0811-500266
6371013,RS Umum Daerah Ulin Banjarmasin,"Jl. Jen A Yani No.43, Banjarmasin Kalimantan Selatan",0511-3252229
6371024,RS Umum Suaka Insan,Jl. H. Zafri Zamzam 60 Banjarmasin,0511-353335
6371046,RS Islam Banjarmasin,"Jl. Letjend S. Parman No. 88, Banjarmasin",(0511) 3354896
6371050,RS Tk.III Dr. R.Soeharsono,Jl. Mayjen Soetoyo S 408  Banjarmasin,05114368422
6371072,RS Umum Daerah Dr. H. Moch. Ansari Saleh,"Jl Brigjend H. Hasan Basry No.1, Banjarmasin",0511-6710000
6371094,RS Umum Sari Mulia,Jl. Pangeran Antasari No 139 Banjarmasin,0511-3261491
6371130,RS Khusus Bedah Banjarmasin Siaga,"Jl. A Yani KM. 4,5 No.73 Banjarmasin",05113267532
6371141, RS TNI-AU Tk.IV Syamsudin Noor,Jl. Hercules No. 17 Banjarbaru,05114705118
6371152,RS Bhayangkara Tk. III Banjarmasin,"Jl. A. Yani Km.3,5 Banjarmasin",0511-3256528
6372014,RS Umum Daerah Idaman Banjarbaru,Jl. Trikora No. 115 Gt. Manggis Banjarbaru,0511-6749696
6401014,RS Umum Daerah Panglima Sebaya,Jl. Kusuma Bangsa KM.5 Tanah Grogot,054324563
6403015,RS Umum Daerah Aji Muhammad Parikesit,Jl. Ratu Agung No. 1 Tenggarong Seberang,0541-661015
6402041,RS Umum Daerah Harapan Insan Sendawar,"Jl. Mawar, Kampung Sekolaq Joleq, Kecamatan Sekolaq Darat",0545-4044001
6403052,RS Umum Daerah Aji Batara Agung Dewa Sakti,Jl Balikpapan - Handil II Samboja,0542-7215367
6404021,RS Umum Daerah Tanjung Selor,"Jl Cendrawasih Kel Tanjung Selor Hilir, Kec Tanjung Selor Kab Bulungan",(0552) 21118
6404032,RS Umum Daerah Kudungga,Jl. Soekarno Hatta No.1 Sangatta Utara,082250364657
6405011,RS Umum Daerah Dr. Abdul Rivai,Jl. Pulau Panjang No.276 Tanjung Redeb,0554 21359
6408014,RS Pratama Langap,Langap Malinau Selatan Kabupaten Malinau,08115411047
6408025,RS Umum Daerah Kabupaten Nunukan,Jl. Ujang Fatimah RT.04 Nunukan Barat,0556-2020755
6409036,RS Umum Daerah Ratu Aji Putri Botung,Jl Propinsi KM 9 Kab. Penajam Paser Utara,7211361
6471014, RS Umum Daerah Dr. Kanujoso Djatiwibowo,Jl. M.T. Haryono Ring Road Balikpapan No.656,0542-873837
6471025,RS  Pertamina Balikpapan,Jl. Jend Sudirman Balikpapan No.1,0542734020
6471036,RS Tk.II Dr R Hardjanto,Jl. Tanjungpura VI Balikpapan,414333/423409
6471051, RS  Restu Ibu,Jl. Jend A.Yani No. 12 Balikpapan Kalimantan Timur,0542427342-44
6471062,RS Ibu dan Anak Sayang Ibu,"Jl. Wain No.33,Kebun Sayur,Balikpapan",(0542) 422088
6472015,RS Umum Daerah Abdul Wahab Sjahranie,"Jl. Dr. Soetomo, Samarinda",0541-738118
6472030,RS Umum Dirgahayu,Jl. Gn. Merbabu No.62 Samarinda,0541-742161
6472041,RS Umum Tk. IV Samarinda,Jl. Jend. Sudirman no.52 Samarinda,0541742168
6472052,RS Ibu dan Anak  Aisyiyah Samarinda,Jl. P Hidayatulah 64 Samarinda,0541741961
6472063,RS Jiwa Atma Husada Mahakam,Jl. Kakap No.23 Samarinda,0541-743364
6472096,RS Umum Bhakti Nugraha,Jl. Basuki Rachmat 50 Samarinda,0541-741363
6472107,RS Umum Haji Darjad,"J.l Dahlia No.4,Samarinda",0541-732609
6472118,RS Umum Daerah Inche Abdoel Moeis,"Jl. H.A.M.M Rifaddin, Kel. Harapan Baru, Kec. Loa Janan Ilir, Samarinda",(0541)7269006
6473016,RS Umum Daerah Tarakan,Jl P. Irian No. 01 Skip Tarakan,0551-21166
6473042,RS AL Ilyas Tarakan,Jl RE. Martadinata No. 29 Kel. Pamusian kec. Tarakan Tengah.Tarakan,0551-24320
6474010,RS LNG Badak,"Kompleks PT Badak NGLBontang, Kalimantan Timur",0548 552992
6474021,RS Pupuk Kaltim,Jl. Oksigen No.01,0548 - 41118
6474032,RS Umum Daerah Taman Husada,Jl. S. Parman No. 01,0548-22111
7101013,RS Umum Datoe Binangkang,"Jl. Trans Sulawesi Desa Lolak II, Kec. Lolak, Sulawesi Utara",
7174024,RS Monompia,"Jl. A. Yani No.720, Kotamobagu Utara",22455
7102014, RS Umum Dr.Sam Ratulangi,Jl. Suprapto Luaan Tondano timur,0431-321171
7173036, RS Bethesda GMIM Tomohon,Jl. Raya Tomohon,0431-352712
7102040,RS Siloam GMIM Sonder,"Kolongan Atas, Sonder",0431-356673
7173051, RS  Gunung Maria,Jl. Sejahtera No. 282 Tomohon,0431-351008
7102062,RS Hermana,Jl. A. Mononutu Desa Lembean Kec. Kauditan Kab. Minahasa Utara,0431-891020
7102073, RS  Budi Setia,Kayowas Jaga I Langowan Barat Minahasa,0431-3174085
7105084, RS Cantia Tompasobaru,"Jaga II (dua) desa Pinaesaan, Kecamatan Tompasobaru",085242200024
7102095, RS  Tonsea,Airmadidi Kab Minahasa Utara,
7105116,RS Kalooran,"Kelurahan Buyungon, Kecamatan Amurang",0430 2425030
7102120, RS Umum Noongan,Jl.Raya Noongan Langowan Barat,0431-3174381
7103015, RS Umum Liun Kendage,Jalan Tatehe Kelurahan Apengsembeka Kecamatan Tahuna,0432-24014
7103026, RS Bergerak Kab.Kep.Sitaro,"Kampung Sawang Kec, Siau timur selatan",081356742120
7104027, RS Bergerak Kab.Kep.Talaud,Jl Raya Taturan - Gemeh Kecamatan Gemeh Kabupaten Kepulauan Talaud,
7171013,RSUP Prof. Dr. R. D. Kandou,"Jl. Raya Tanawangko No.56, Manado",0431-838203
7171024,RS TK. II R. W. Mongisidi,"Jl. 14 Februari Telling Atas,Manado",852250
7171035,RS Jiwa Prof. Dr. V. L. Ratumbusyang,Jl. Bethesda 77 Manado,(0431) 827525
7171050,RS Pancaran Kasih,Jl. Dr. Sam Ratulangi XIII,865800
7171061,RS Bhayangkara Manado,Jl. Sam Ratulangi no. 326 Manado,04318229522
7171072, RS Permata Bunda,"Jl. Pingkan Matindas, Dendengan dalam,Manado",0431-842055
7171083,RS Advent Manado,Jl. 14 Februari No. 1 Teling Atas,0431-847950
7172014,RS Budi Mulia Bitung,Jl. Sam Ratulangi X/9A Bitung,0438-21442
7172025,Rumkital dr. Wahyu Slamet Bitung,Jl. Yos Sudarso No. 26 Bitung,0438-21264
7172036,RS Umum Daerah Bitung,Jl. S.H Sarundajang Kel. Manembo-nembo Tengah Kec. Matuari,0438-38066
7202015,RS Umum Daerah Kabupaten Banggai ,Jl. Imam Bonjol KM 3 No. 14 Luwuk,0461-21820
7203016,RS Umum Daerah Morowali,Jl. Trans Sulawesi Fonuasingko Bungku,04092220085
7204010,RS Umum Daerah Poso,Jl. Jenderal Sudirman No.33  Kel Kasintuwu Poso,0452-21071
7204021,RS Umum Daerah Kolonedale,Jl. W Monginsidi 2 Kolonedale,0465-21010
7209032,RS Umum Daerah Ampana,Jl. St Hasanudin No. 32 Ampana,0464-21165
7204043,RS GKST Tentena,Jl. Setia Budi No.98. Tentena Kec.Pamona Puselemba,045821104
7208011,RS Umum Daerah Anuntaloko Parigi,Jl. Sis Al Jufri No.214 Parigi Moutong,0450-22251
7205022,RS Umum Daerah Kabelota,Jl. Trans Palu - Donggala Kabonga Besar,0457-71892
7206012,RS Umum  Mokopido Toli-Toli,"Jl. Lanoni No.37 Kel Baru Kec Baolan kab Toli-Toli, Sulteng",0453-21301
7207013,RS Umum Daerah Buol,Jln. DR. Wahidin Sudirohusodo No.12 Kel. Leok II  Kec. Biau,081385002295
7271014,RS Umum Daerah Undata Palu,"Jl. R. E. Martadinata, Tondo Kecamatan Mantikulore",0451-421270
7271025,RS TK.IV Wirabuana Palu,"Jl. Sisinga Mangaraja No.4,Palu",0451-421575
7271036,RS Umum Anutapura Palu,Jl. Kangkung No. 1 Palu,0451-460570
7271040,RS Woodward,Jl. L.H. Woodward No.1 Palu,0451-421769
7271051,RS Umum Daerah Madani Palu,Jl. Thalua Kontji No. 11  Mamboro Palu,0451491470
7271084,RS Ibu dan Anak Sitti Masyithah,Jl. WR Supratman No. 7 Palu,(0451) 422261
7271095,RS Budi Agung Palu,Jl. Maluku No. 44 Palu,0451-421360
7271116,RS Ibu dan Anak Tinatapura,Jl. Raden Saleh 31 Palu,422870
7301015, RS Umum Daerah K.H. Hayyung Kepulauan Selayar,Jl. KH. Abdul Kadir Kasim Kepulauan Selayar Sulawesi Selatan,0414-2313031
7302016,RS Umum Daerah H.A. Sulthan Daeng Radja,Jl. Serikaya No. 17 Bulukumba,0413-81290
7303010, RS Umum Daerah Prof.Dr.H.M. Anwar Makkatutu ,Jl. Teratai No.20 Bantaeng,0413-21004
7304011, RS Umum Daerah Lanto Daeng Pasewang,Jl.lingkar Kel.Empong Selatan No.8,0419-22113
7305012,RS Umum Daerah H. Padjonga Dg. Ngalle Takalar,"Jl. H. Ince Husain Dg Parani No 1, Kab Takalar",0418-21065
7306046, RS Umum Daerah Syehk Yusuf Gowa,Jl. Dr. Wahidin Sudirohusodo No.48 Sungguminasa Kabupaten Gowa,411-866536
7307014, RS Umum Daerah Kabupaten Sinjai,"Jl. Jend Sudirman No. 47 Sinjai, Sulawesi Selatan",0482-21132
7308026, RS Tk.IV DR. M. Yasin Bone,Jl. Jend Sudirman Watampone,0481-21082
7308041, RS Umum Daerah Tenriawaru Bone,Jl. DR. Wahidin Sudirohusodo Watampone,0481-21069
7309016, RS Umum Daerah Salewangang Maros,Jl. Poros Maros-Makassar KM 3 Maros,0411-371166
7310016,RS Umum Batara Siang,Jl. Sultan Hasanudin 7 Pangkajene,0410-2311118
7311010, RS Umum Daerah Barru,Jl. Lasawedi Kel.Coppo Kec.Barru Kab.Barru,0427-21221
7312011,RS Umum Daerah Latemmamala Soppeng,"Jl. Malaka Raya Kec. Lalabata, Kab. Soppeng",0484-23307
7313012, RS Umum Daerah Lamaddukkelleng Kabupaten Wajo,Jl. Kartika Chandra Kirana No. 9 Sengkang,0485-21785
7314013, RS Umum Daerah Nene Mallomo,"Jl. Wolter Monginsidi Pangkajene, Kab. Sidenreng Rappang",0421-91493
7314024,RS Umum Daerah Arifin Numang,Jl.Jend.  Achmad Yani No. 1 Rappang,0421-93010
7315014, RS Umum Daerah Lasinrang Pinrang,Jl. Macan No. 22 Pinrang,0421-921298
7316015, RS Umum Daerah Massenrempulu Enrekang,Jl. Jend Sudirman Keppe Enrekang,0420-22128
7373016, RS Umum Daerah Sawerigading,Jl. Dr. Ratulangi KM.7 Rampoang Kota Palopo,0471-3312133
7317020, RS Umum Inco Sorowako,"Soroako, Kab.Luwu",318545
7317053, RS Umum Daerah Andi Djemma Masamba,Jl. Sultan Hasanuddin No.23 Masamba,0473-21188
7373064, RS At - Medika,Jl. Andi Djemma No. 6Palopo,0471 21596
7318021, RS Fatima Makale,Jl. Nusantara No.18 Makale Tator,0423-24058
7318054, RS Umum Daerah Lakipadada,Jl. Pongtiku Mandetek Tana Toraja,0423-22264
7325016, RS Umum Daerah I Lagaligo,"Jl. Sangkuruwira,Kec.Wotu Kab.Luwu Timur",08114216001
7371026, RS Umum Daerah Labuang Baji,Jl. Dr. Ratulangi No.81 Makassar,0411-872120
7371030, RS Tk.II Pelamonia,"Jl. Jend Sudirman No.27,Makassar",(0411) 7402332
7371041, RS Kepolisian Bhayangkara,Jl. Letjen Mapaodang Makassar,"872514, 830840"
7371052, RS Akademis Jaury,Jl. Jend. M. Jusuf No. 57 Makassar,0411-3617343
7371063, RS Stella Maris,Jl. Somba Opu No.273 Makassar,0411-871391
7371074,RS AL Jala Ammari Makassar,Jl. Satando  No 27 Kel Tamalabba Kec Ujung Tanah,04113633289
7371096,RS Khusus Daerah Dadi,Jl. Lanto Dg. Pasewang No. 34 Makassar,0411-873120
7371176, RS Bersalin Elim Makassar,Jl. S Saddang 70 Makassar,0411-855280
7371180, RS Ibu dan Anak Sentosa,Jl. Jend Sudirman No.52 Makkassar,0411 - 3612720
7371191, RS Ibu dan Anak Sitti Khadijah 1 Muhammadiyah,Jl. RA. Kartini No. 15-17 Makassar,(0411) 3624554
7371201, RS Bersalin Restu Makassar,Jl. H A Mappanyuki 27 Makassar,0411-873065
7371223, RS Ibu dan Anak Chaterine Booth,Jl. Arief Rate No.15 Makassar,0411-873803
7371256,RS Khusus Daerah Ibu dan Anak Siti Fatimah,Jl. Gunung Merapi No. 73 Makassar,0411-3624956
7371293, RS Islam Faisal,"Jl. AP Pettarani ,Makasar",0411-871942
7371314,RS Dr. Tadjuddin Chalid MPH,Jl. Paccerakkang No.67 / Pajjaiang Daya Makassar,0411-512902
7371325,RSUP Dr. Wahidin Sudirohusodo,Jl. Perintis Kemerdekaan Km.11 Makasar,(0411) 584677
7371340,RS Ibnu Sina Makassar,Jl. U Sumoharjo Makassar Km. 05 No. 264,(0411) 452917
7371351, RS Umum Luramay,Jl. AP Pettarani E19 Makassar,0411-867618
7371362, RS Umum Daerah Haji Makassar,Jl. Dg. Ngepe No. 14 Makassar,0411-856091
7371373, RS Grestelina,Jl. Hertasning Raya No.52 Makassar,448855
7371395,RS Umum Daerah Daya Kota Makassar,"Jl. Perintis Kemerdekaan No. 14,Makasar",0411-510016
7372020, RS Fatima Pare-Pare,Jl. Ilham No.5 Pare-Pare,(0421)21847
7372031,RS Tk IV 07.07.03 Dr. Sumantri,Jl. Karaeng Buranee No.24 Parepare,(0421) 21507
7372075,RS Umum Daerah Andi Makkasau Parepare,Jl. Nurussamawati No.9 Kota Parepare,0421-21823
7472016,RS Umum Daerah Kota Bau Bau,Jl. Drs. H. La Ode Manarfa,0402-2825357
7401038,RS Umum Daerah Kabupaten Buton,Jl. Protokol Laburunce  KEc. pasarwajo,-
7402010,RS Umum Daerah Raha,Jl. Ahmad yani raha,0403-21220
7471011,RS Bahteramas Provinsi Sultra,Jl. Kapten Piere Tendean No 50 Kec Baruga,0401-3195611
7403022,RS Umum Daerah Konawe,"Jl. Pangeran Diponegoro No.301, Konawe",0408-2421014
7403033,RS Tk.IV Dr. R Ismoyo Kendari,Jl. Laute no 1 Kendari,0401-324716
7471066, RS  Jiwa Kendari,Jl. DR.Sutomo No.29,0401-3122470
7471092, RS Umum Daerah Kota Kendari,Jl. Z.A. Sugianto No. 39 Kendari,081380113153
7403114,RS Umum Daerah Konawe Selatan,Jl. Poros Andoolo No. 1,-
7404012,RS Benyamin Guluh Kolaka,Jl. DR.Sutomo  No. 01 Kolaka,0405-2321042
7404023, RS  Antam Nikel Pomalaa,Jl. R.Suprapto Pomalaa Kab.Kolaka,0405-21171
7404034, RS Umum Daerah H.M.Djafar Harun,"Jl. Trans Sulawesi Lasusua, Kolaka",-
7502033,RS Umum Daerah dr. M. Mohammad Dunda,Jl. Achmad A. Wahab (eks Ahmad Yani No. 53) Limboto Gorontalo,881455
7504032,RS Umum Daerah Toto Kabila,"Jl.Kesehatan no 25,  kec.Tilongkabila, kab.Bone Bolango",(0435) 831273
7501043,RS Umum Daerah Tani dan Nelayan,"Jln. Prof. Dr. Aloei Saboe, Desa Lamu Kec.Tilamuta,Kab.Boalemo",-
7503045,RS Umum Daerah Bumi Panua,Jl. dr. Herizal Umar Desa Botubilotahu Kec. Marisa,0443-210880
7571010,RS Umum Daerah Prof Dr. H. Aloei Saboe,Jl. Prof. Dr. H. Aloei Saboe,0435 821924
7601011,RS Umum Daerah Kabupaten Majene,Jl. Poros Majene-Mamuju,0422-21009
7602044,RS Umum Daerah Polewali,Jl. Dr Ratulangi No. 50 Polewali,0428-21451
7604012,RS Umum Daerah Kabupaten Mamuju,Jl. Kurungan Bassi Mamuju,(0426) 21107
8101015,RS Umum Karel Sadsuitubun,Jl. Merdeka Raya no.3 Ohoijang Langgur,091621612/21613
8101026,RS Hati Kudus Langgur,Jl. Jenderal Sudirman Langgur,0916 21638
8101030,RS St. Yusuph Elat,Kei Besar Kab. Maluku Tenggara,0916-22023
8101041,RS Fatima Saumlaki,Jl. Komplek Misi Saumlaki Maluku Tenggara Barat,918-21029
8101052,RS Bergerak Kab. Maluku Tenggara Barat,Jln. Ir. Soekarno,091821626
8103016,RS Umum Saparua,Jl. Rumah Sakit Porto Haria Kecamatan Saparua,0931-21250
8103020,RSUD Kab. Buru,Jl. Butung Leong No. 1 Lala - Namlea,
8103042,RS Umum Masohi,Jl. Dr. G. A. Siwabessy Masohi,(0914)22568
8103053,RS Umum Daerah dr. Ishak Umarella,Jl. Pahlawan No.36 Tulehu,(0911)3303277
8105019,RS Umum Daerah Cendrawasih Dobo,Jl. Cendrawasih Km.6 Kepulauan Aru,0917 21366
8107021,RS Umum Daerah Bula,Jl. Wailola No.11-12 Bula Kab. Seram BagianTimur,(0915) 21312
8171015,RS Umum Dr. M. Haulussy Ambon,Jl. dr. Kayadoe Ambon,0911 - 344871
8171026,RS Tk. II Prof. dr. J. A. Latumeten,Jl. Dr. Tamaela No. 2 Ambon,0911-353555
8171030,RS AL Ambon,Komplek Lantamal IX Halong Ambon,0911 352547
8171052,RS Lanu Patimura,Lanud Pattimura Ambon,3323109
8171063,RSKD Provinsi Maluku,Jl. Laksdya Leo Wattimena Ambon,361392
8171074,RS Hative,Jl. Leo Wattimena Passo,0911-362199
8171085,RS Sumber Hidup GPM,Jl. Anthonie Rhebok No. 11,0911352373
8171096,RS Umum Bakti Rahayu,Jl. Ahmad Yani (Belakang RRI) Ambon,0911 - 342 746
8171110,RS Al Fatah,Jl. Sultan Babullah 2 Ambon,(0911) 354407
8201010, RS Umum Daerah Tobelo,Jl. Lanbouw Gamsungi Tobelo Halmahera Utara,0924-2621665
8201021, RS Umum Daerah Jailolo,"Jl.Ir. Soekarno Ds. Acango-Jailolo,Halmahera Barat",21070
